"","x"
"1","AAAS"
"2","ACADM"
"3","AGPAT4.IT1"
"4","ANKRD11"
"5","BCL6"
"6","BTG2"
"7","C11orf40"
"8","C1orf177"
"9","CARD11"
"10","CCDC79"
"11","CCDC92"
"12","CD160"
"13","CHD9.1"
"14","CLASP2"
"15","CLIC1"
"16","CPD"
"17","CTAGE7P"
"18","DCBLD1"
"19","DDX23"
"20","DENND2D"
"21","DLG5"
"22","DNAJC25.GNG10.1"
"23","DPP9"
"24","EGR1"
"25","EGR2"
"26","EGR3"
"27","EIF2B4"
"28","EIF2B5"
"29","ELOVL6"
"30","EPG5"
"31","ERVK13.1"
"32","ETS2"
"33","EXOSC10"
"34","EXOSC7"
"35","FAM129A"
"36","FCHSD1"
"37","FLAD1"
"38","FOSB"
"39","FUS"
"40","GART"
"41","GNAL"
"42","GNPTAB"
"43","GOLGA8O.1"
"44","GPR114"
"45","GPRIN2"
"46","GZMA"
"47","HCST"
"48","HERC2P9"
"49","HINFP"
"50","HLX"
"51","HOPX"
"52","HYOU1"
"53","IL2RB"
"54","INTS4.1"
"55","IPO13"
"56","IPO9"
"57","KCTD10"
"58","KIF13B"
"59","KIR2DS2.1"
"60","KIR2DS2.2"
"61","KIR3DL3"
"62","KLRB1"
"63","LINC00299"
"64","LPP"
"65","LRP8"
"66","MACF1.1"
"67","MAMDC2.1"
"68","MAP4"
"69","MAPRE2"
"70","MEGF9"
"71","MSL1"
"72","MTMR9"
"73","MTOR"
"74","NAP1L5"
"75","NDRG3"
"76","NFKBIA"
"77","NFKBIZ"
"78","NMUR1"
"79","NOP2"
"80","NPIPB5.1"
"81","NRP1"
"82","NUP188"
"83","ODC1"
"84","OR13J1"
"85","OR52H1"
"86","OSBPL5"
"87","PDCD11.1"
"88","PDGFD"
"89","PDPK1"
"90","PDZD8"
"91","PIGT"
"92","PLA2G12B"
"93","PLXNC1"
"94","POLR1A"
"95","POLR3A"
"96","PPIL1"
"97","PPTC7"
"98","RAB43"
"99","RANBP3L"
"100","RBM41"
"101","RHOC"
"102","RIC8A"
"103","RNF19B"
"104","SAFB2"
"105","SCGB2A1"
"106","SETD3"
"107","SF3B3"
"108","SH2D2A"
"109","SIDT1"
"110","SLC7A14.1"
"111","SNTB1"
"112","SPIN4"
"113","SRGAP2.2"
"114","SRPK1"
"115","STAU2"
"116","STK39"
"117","SUCLG1"
"118","TADA2B"
"119","TANGO6"
"120","TAS2R19"
"121","TAS2R46"
"122","TMC8"
"123","TNF"
"124","TPH1"
"125","TREM1"
"126","TTI1"
"127","UBE2R2"
"128","UTRN"
"129","YWHAQP8.1"
"130","ZBTB11.AS1"
"131","ZFYVE26"
"132","ZNF24"
"133","ZNF718.1"
"134","ZNF768"
"135","ZRANB1"
"136","AACS"
"137","ABCB1"
"138","ABHD17A.2"
"139","ABHD17A.3"
"140","ACSL1"
"141","ACTR3C"
"142","ADCY7"
"143","AGK"
"144","AHR"
"145","AKT3"
"146","ALDH1L2"
"147","ANKMY2"
"148","ANKZF1"
"149","APOA1BP"
"150","ARHGEF3"
"151","ARPC4.TTLL3"
"152","ASB14"
"153","AVEN"
"154","BEX5"
"155","BMX"
"156","BNC2"
"157","BPNT1"
"158","C12orf75"
"159","C14orf1"
"160","C1QA"
"161","C3orf62"
"162","CAPN2"
"163","CCDC134"
"164","CCDC73"
"165","CCL3L3"
"166","CCND2"
"167","CD247"
"168","CEP78"
"169","CKAP4"
"170","CMBL"
"171","CNOT6L.1"
"172","COLQ"
"173","COMMD1"
"174","COQ10A"
"175","CPE"
"176","CREB3L2"
"177","CREBRF"
"178","CSF2RB"
"179","CXorf21"
"180","CYP4F2"
"181","DDB2"
"182","DDI1"
"183","DDX10"
"184","DHPS"
"185","DHRS3"
"186","DHRSX"
"187","DKFZp434E1119"
"188","DUSP6"
"189","EAF1"
"190","ELAC2"
"191","F2R"
"192","FAM169A"
"193","FAM198A"
"194","FARSA"
"195","FBXW8"
"196","FEZ1"
"197","FMNL3"
"198","FST"
"199","GALNT14"
"200","GFOD1"
"201","GGT2.2"
"202","GNLY"
"203","GPKOW"
"204","GPM6B"
"205","HECA"
"206","HERC2P9.1"
"207","HIST1H1E"
"208","HSD17B6"
"209","HTT"
"210","IFT172"
"211","IGF1R"
"212","IL10RA"
"213","IL4R"
"214","INTS7"
"215","IRF2BP2"
"216","KAZN"
"217","KDM2A"
"218","KIF19.1"
"219","KIR2DS2"
"220","KLF4"
"221","KLHDC4"
"222","KLRF1"
"223","KRT12"
"224","KRT9"
"225","LAP3"
"226","LARS2"
"227","LGALS12"
"228","LINGO2"
"229","LOC100132686"
"230","LOC100134868.1"
"231","LONRF1"
"232","LRGUK"
"233","LRRC43"
"234","MADD"
"235","MATK"
"236","MDP1.1"
"237","MED13L"
"238","METTL9"
"239","MGC24103"
"240","MGC72080.1"
"241","MKNK2"
"242","MLC1"
"243","MOGS"
"244","MPPED2"
"245","MSTO2P.1"
"246","MXD3"
"247","MYBL1"
"248","MYO1E"
"249","NAT8B"
"250","NEB"
"251","NFATC2IP"
"252","NFKBIE"
"253","NUP85"
"254","OR52J3"
"255","OSGEP"
"256","P2RY13"
"257","PABPC3"
"258","PADI3"
"259","PARP12"
"260","PATZ1.1"
"261","PCCB"
"262","PDE4D"
"263","PELI1"
"264","PELI2"
"265","PIK3R1"
"266","PIM3"
"267","PLCXD2"
"268","POPDC2"
"269","PPM1L"
"270","PPP2CA"
"271","PRKCH"
"272","PROM2"
"273","PRR4"
"274","PSG8"
"275","PTGDR"
"276","PXMP4"
"277","RAB36.1"
"278","RAP2B"
"279","RASAL3"
"280","RASSF1"
"281","RBM11"
"282","RBM42"
"283","RBM7"
"284","RILPL2"
"285","RNASET2"
"286","RNF213"
"287","RNF5P1.2"
"288","RNU4.2"
"289","SCARNA17.1"
"290","SCFD2"
"291","SEC24C"
"292","SERPINF1"
"293","SIGLEC1"
"294","SKI"
"295","SLC12A6"
"296","SLC39A2"
"297","SLC4A10"
"298","SLC4A8"
"299","SLX4IP"
"300","SND1.IT1"
"301","SNORA30"
"302","SNORA62"
"303","SOWAHB"
"304","SPAG6"
"305","SPEF2"
"306","SPTLC3"
"307","STARD9.1"
"308","STAT4"
"309","TAF15"
"310","TATDN2"
"311","TCF19"
"312","TCTN3"
"313","TERF1.2"
"314","TIGIT"
"315","TMEM110"
"316","TMEM117"
"317","TMEM260"
"318","TMEM41A"
"319","TMIGD1"
"320","TPST2"
"321","TRAPPC9"
"322","TSEN15"
"323","TSPYL6"
"324","TUBGCP6"
"325","UBE3D"
"326","ULK4P2.1"
"327","USP31"
"328","UTS2"
"329","VMAC"
"330","VPS11"
"331","WDR60"
"332","WNK1"
"333","XKR9"
"334","YPEL2"
"335","YWHAQP8"
"336","ZBTB16"
"337","ZFAT"
"338","ZFP36"
"339","ZNF334"
"340","ZNF337"
"341","ZNF767P"
