"","x"
"1","AAAS"
"2","ABCA5"
"3","AGPAT4.IT1"
"4","AHCYL2"
"5","AKAP9"
"6","ANGPTL1"
"7","ASCC2"
"8","ATG9A"
"9","ATP1A1"
"10","B4GALT3"
"11","BCL11B"
"12","BCL2L15"
"13","BTBD2"
"14","C11orf1"
"15","C1orf177"
"16","C3orf58"
"17","C9orf84"
"18","CBLL1"
"19","CCDC79"
"20","CCNI"
"21","CD180"
"22","CD53"
"23","CDIPT"
"24","CDRT4"
"25","CREB3"
"26","CTBP2"
"27","CTSH"
"28","DCTN4"
"29","DESI1"
"30","EEF2"
"31","EIF1"
"32","ELOF1"
"33","EPB41"
"34","ERVK13.1"
"35","EXOSC7"
"36","FCHSD1"
"37","FLJ41170"
"38","FOSB"
"39","FOXO3B"
"40","FUS"
"41","GLG1"
"42","GOLGA4"
"43","GOLGA8O.1"
"44","GP5"
"45","GSPT1"
"46","HCFC1"
"47","HIST1H4I"
"48","HLA.DPA1.1"
"49","HLX"
"50","IGF2BP2"
"51","ITGA3"
"52","KCNK1"
"53","KHDRBS3"
"54","KIAA0825"
"55","KIAA0825.2"
"56","KIF13B"
"57","LINC00299"
"58","LOC100132147.3"
"59","LOC100509780"
"60","LOC650157"
"61","LPP"
"62","LSM12"
"63","MACF1.1"
"64","MAP6D1"
"65","MAPK6"
"66","MCTP2"
"67","MIF4GD"
"68","MIR30C1"
"69","MPP1"
"70","MTMR9"
"71","N4BP2L2"
"72","NAP1L5"
"73","NDE1"
"74","NDNL2"
"75","NIPAL2"
"76","NMT1"
"77","NPIPB5.1"
"78","NQO2"
"79","NTF3"
"80","OR2W3.1"
"81","OR52H1"
"82","PABPC1"
"83","PAF1"
"84","PCBP1"
"85","PDE6D"
"86","PMS1"
"87","PNPO"
"88","POFUT1"
"89","POLD3"
"90","POLR3C"
"91","PPM1B"
"92","PPTC7"
"93","PRPS1"
"94","PRR12"
"95","PRRC2A.1"
"96","PSMD2"
"97","PYGB"
"98","RAB27A"
"99","RBM14.1"
"100","RNU105B"
"101","RPRD2"
"102","RPS15.1"
"103","SCGB2A1"
"104","SEC24A"
"105","SELL"
"106","SFXN3"
"107","SIAH2"
"108","SLC25A37"
"109","SLC35C2"
"110","SLC39A9"
"111","SLC7A14.1"
"112","SMARCA2"
"113","SMG1P3.2"
"114","SNORA2A"
"115","SNORD56"
"116","SNRPA"
"117","SRGAP2.2"
"118","SSBP2"
"119","SYT6"
"120","TADA2B"
"121","TAF4B"
"122","TAS2R19"
"123","TAS2R43"
"124","TAS2R46"
"125","TCP11L2"
"126","TNF"
"127","TNFSF8"
"128","TOE1"
"129","TRERF1.1"
"130","TSPYL1.1"
"131","TTPAL"
"132","TUBG2"
"133","UBAP1"
"134","UTRN"
"135","WDR5"
"136","WDTC1"
"137","XPO7"
"138","YTHDF1"
"139","ZBTB9"
"140","ZNF208.1"
"141","ZNF263"
"142","ZNF473"
"143","ZNF718.1"
"144","ZRANB1"
"145","ABCA10"
"146","ABHD4.1"
"147","ACTR3C"
"148","AHR"
"149","ALAD"
"150","ALDH1L2"
"151","ANKRD20A11P"
"152","ANKRD20A5P"
"153","AP3D1"
"154","ARHGAP26"
"155","ARPC4.TTLL3"
"156","ASB14"
"157","ATP8B1"
"158","AURKA"
"159","AVEN"
"160","B3GNT9.1"
"161","B4GALT7"
"162","BAP1"
"163","BCKDK"
"164","BCL2L13"
"165","BEND6"
"166","BEX5"
"167","BTF3L4"
"168","BUB1"
"169","C14orf183"
"170","C3"
"171","C9orf91"
"172","CC2D2A"
"173","CC2D2B.1"
"174","CCDC115"
"175","CCDC176"
"176","CCNY"
"177","CD247"
"178","CDC25C"
"179","CDCA8"
"180","CDK12"
"181","CDKN2AIP"
"182","CECR1"
"183","CENPBD1P1"
"184","CERS4"
"185","CHRAC1"
"186","CLPTM1"
"187","CMBL"
"188","CNOT11"
"189","CNP"
"190","COLGALT1"
"191","COX15"
"192","CPE"
"193","CPNE3"
"194","CRADD"
"195","CRYBA1"
"196","CSNK1G2"
"197","CTAGE5"
"198","CTBP1.AS2"
"199","CXorf23"
"200","DCTN1"
"201","DDX10"
"202","DEDD"
"203","DEXI"
"204","DIAPH2"
"205","DKFZp434E1119"
"206","DNAH6.3"
"207","DNAJB4"
"208","DNAJB7"
"209","DPYSL2"
"210","DSERG1"
"211","DUSP6"
"212","DXO"
"213","EAF1"
"214","EHMT1.IT1"
"215","EIF3L"
"216","EIF4EBP2"
"217","EIF4ENIF1"
"218","EIF4G2"
"219","EMC2"
"220","ERCC2"
"221","F8A3"
"222","FAM110A"
"223","FBXO18"
"224","FER"
"225","FLJ36840"
"226","FLJ38379"
"227","FLJ42393"
"228","FLJ43315"
"229","FNDC3B"
"230","GAR1"
"231","GGT2.2"
"232","GLB1"
"233","GLCCI1"
"234","GMEB1"
"235","GOLGA2P7"
"236","GOLGA6L10.2"
"237","GSAP"
"238","GSK3A"
"239","GUSBP9.2"
"240","HEPACAM2"
"241","HEPN1.1"
"242","HHAT"
"243","HNRNPH3"
"244","HORMAD1.1"
"245","HS3ST5"
"246","HSPBAP1"
"247","IFNAR2"
"248","IGHG4"
"249","IGIP"
"250","IL4R"
"251","IRF2BP2"
"252","ISG20L2"
"253","KDELR1"
"254","KDM1A"
"255","KDM2A"
"256","KIAA0430"
"257","KLF2"
"258","KLF4"
"259","KLHL15"
"260","KLK6"
"261","KPNA2"
"262","KRT83"
"263","KRTAP4.5"
"264","LINC01000"
"265","LIX1L"
"266","LOC100128175"
"267","LOC100131131"
"268","LOC100132686"
"269","LOC100133106"
"270","LOC100133267"
"271","LOC100134868.1"
"272","LOC440434"
"273","LOC441179"
"274","LOC642947"
"275","LOC643549"
"276","LOC729603"
"277","LRRC41"
"278","LRRC43"
"279","LRRC63"
"280","LY86"
"281","LYN"
"282","LYRM4"
"283","MARCH3"
"284","MBNL3"
"285","MDP1.1"
"286","MFGE8"
"287","MGC16025"
"288","MGC24103"
"289","MKNK2"
"290","MLANA"
"291","MORN2"
